OBD.LongTermO2Trim2,OICOBD
OBD.MAP,OICAtmosphericPressureSensor
OBD.MaxMAF,OICAirFlow
OBD.O2WR.Sensor8.Current,OICCurrent
OBD.O2WR.Sensor8.Voltage,OICEnergyConsumption
OBD.OilTemperature,OICTemperature
OBD.PidsA,OICOBD
OBD.PidsB,OICOBD
OBD.PidsC,OICOBD
OBD.RelativeAcceleratorPosition,OICOBD
OBD.RelativeThrottlePosition,OICOBD
OBD.RunTime,OICTimePeriod
OBD.RunTimeMIL,OICTimePeriod
OBD.ShortTermFuelTrim1,OICOBD
OBD.ShortTermFuelTrim2,OICOBD
OBD.ShortTermO2Trim1,OICOBD
OBD.ShortTermO2Trim2,OICOBD
OBD.Speed,OICSpeed
OBD.Status.DTCCount,OICOBD
OBD.Status.MIL,OICBinarySwitch
OBD.ThrottleActuator,OICOBD
OBD.ThrottlePosition,OICOBD
OBD.ThrottlePositionB,OICOBD
OBD.ThrottlePositionC,OICOBD
OBD.TimeSinceDTCCleared,OICTimePeriod
OBD.TimingAdvance,OICOBD
OBD.WarmupsSinceDTCClear,OICOBD
Vehicle.Acceleration.Lateral,OICAcceleration
Vehicle.Acceleration.Longitudinal,OICAcceleration
Vehicle.Acceleration.Vertical,OICAcceleration
Vehicle.AngularVelocity.Pitch,OICAngularVelocity
Vehicle.AngularVelocity.Roll,OICAngularVelocity
Vehicle.AngularVelocity.Yaw,OICAngularVelocity
Vehicle.DriveTime,OICTimePeriod
Vehicle.IdleTime,OICTimePeriod
Vehicle.IgnitionOffTime,OICClock
Vehicle.IgnitionOnTime,OICTimePeriod
Vehicle.TripMeterReading,OICDistance
Vehicle.VehicleIdentification.Brand,OICMode
Vehicle.VehicleIdentification.Model,OICMode
Vehicle.VehicleIdentification.VIN,OICMode
Vehicle.VehicleIdentification.WMI,OICMode
Vehicle.VehicleIdentification.Year,OICClock
